a good day to die hard,0.16,0.82
identity thief,0.24,0.74
safe haven,0.12,0.71
escape from planet earth 3d,0.29,0.73
warm bodies,0.78,0.82
beautiful creatures,0.45,0.74
side effects,0.85,0.70
silver linings playbook,0.92,0.89
hansel and gretel: witch hunters,0.15,0.63
zero dark thirty,0.94,0.82
mama,0.62,0.69
argo,0.96,0.93
lincoln,0.89,0.85
life of pi,0.88,0.87
django unchained,0.89,0.94
quartet,0.79,0.67
the hobbit: an unexpected journey,0.65,0.84
les miserable,0.70,0.82
wreck-it ralph,0.85,0.89
amour,0.93,0.85
parental guidance,0.19,0.66
the impossible,0.81,0.85
parker,0.38,0.61
rise of the guardians,0.74,0.83
the oscar nominated short films 2013: live action,1.0,0.89
a haunted house,0.06,0.73
the twilight saga: breaking dawn part 2,0.48,0.76
skyfall,0.92,0.88
bullet to the head,0.48,0.58
gangster squad,0.32,0.64
beasts of the southern wild,0.86,0.79
top gun: an imax 3d experience,0.55,0.80
jack reacher,0.61,0.72
stand up guys,0.36,0.53
hyde park on hudson,0.38,0.34
this is 40,0.52,0.55
hotel transylvania,0.43,0.73
broken city,0.27,0.48
to the arctic,0.67,0.65
monsters inc. 3d,0.96,0.84
no,0.89,0.86
a royal affair,0.89,0.85
56 up,1.0,0.70
hubble 3d,0.86,0.86
texas chainsaw 3d,0.19,0.49
here comes the boom,0.39,0.72
the guilt trip,0.37,0.49
born to be wild,0.98,0.85
the gatekeepers,0.94,0.85
anna karenina,0.63,0.58
