# ----------------------------------------
# Economics of Seinfeld
# Audience Overview
# 20130101-20130219
# ----------------------------------------

Day,Unique Visitors
1/1/13,94
1/2/13,129
1/3/13,137
1/4/13,109
1/5/13,100
1/6/13,107
1/7/13,160
1/8/13,190
1/9/13,152
1/10/13,183
1/11/13,173
1/12/13,90
1/13/13,144
1/14/13,197
1/15/13,201
1/16/13,165
1/17/13,179
1/18/13,180
1/19/13,106
1/20/13,105
1/21/13,161
1/22/13,245
1/23/13,197
1/24/13,230
1/25/13,169
1/26/13,115
1/27/13,159
1/28/13,192
1/29/13,214
1/30/13,187
1/31/13,226
2/1/13,149
2/2/13,132
2/3/13,136
2/4/13,248
2/5/13,226
2/6/13,221
2/7/13,202
2/8/13,134
2/9/13,109
2/10/13,176
2/11/13,206
2/12/13,238
2/13/13,212
2/14/13,153
2/15/13,118
2/16/13,136
2/17/13,154
2/18/13,176
2/19/13,189
